gx,gy,gz,ax,ay,az,label
-29007636,20458016,-32824428,-12451172,175781252,89501952,0
7153435,-41427484,-15862596,-12524414,16601562,88500976,0
-28244276,26793892,-236641232,-118652344,28076172,90185544,0
61068704,-129771,13740458,-12084961,234375,9055176,0
-7633588,3259542,-206106868,-12402344,29296875,8996582,0
29007636,-15267176,22900764,-11791992,28320312,891601536,0
35114504,6335878,259542,-12670898,20019532,9157715,0
-7633588,5496183,-99236648,-12841797,27832032,8955078,0
-20076336,16183206,-4961832,-10571289,5126953,8664551,0
32824428,-740458,-10,-119628904,28076172,8967285,0
42290076,12137405,24122138,-11669922,30273438,8977051,0
-221374052,10152671,1908397,-13012696,2319336,8886719,0
-259542,16793894,-183206116,-12939453,2319336,89990232,0
-28244276,6946565,-17557252,-12353516,20996094,90185544,0
129771,86259544,-99236648,-12646484,1953125,9057617,0
-3816794,11068702,-61068704,-12548828,25146484,8977051,0
-229007632,6946565,-13740458,-12841797,29541016,90185544,0
53435112,11145039,15267176,-12182617,21240234,9020996,0
-4274809,488549632,-26717558,-1274414,2709961,9055176,0
114503816,8854962,-6870229,-12841797,2709961,90283204,0
7633588,122137408,53435112,-13354492,20019532,8979492,0
-7633588,15267176,1908397,-123046872,22460938,90283204,0
1832061,4274809,-53435112,-1159668,23925782,8930664,0
6870229,1908397,-7633588,-13256836,24414062,90600584,0
-183206116,6946565,53435112,-12939453,22460938,9033203,0
-32824428,83206104,-3129771,-12963867,21972656,9030762,0
-16793894,7557252,-1908397,-12670898,21240234,9033203,0
99236643,870229,-396946584,-12402344,20507812,88427736,0
91603052,-473282468,-198473292,-12524414,34423828,90722652,0
-343511468,55725192,-16793894,-12207031,2709961,9020996,0
10687023,778625968,-7633588,-12182617,29296875,89501952,0
14503818,24732824,-91603052,-12792969,20996094,907959,0
15267176,14274809,221374052,-12036133,29052734,89746092,0
-183206116,8854962,-7633588,-1303711,26367188,9055176,0
8396947,480916032,-28244276,-12890625,26123046,900634736,0
-16793894,6870229,-99236648,-12573242,234375,90283204,0
-244274816,778625968,-1908397,-13061524,16601562,89990232,0
6870229,7099237,6870229,-12939453,26367188,90405272,0
-2091603,19770992,-15725191,-11035156,3857422,86694332,0
-179389316,91603052,-1038168,-13354492,17822266,9082031,0
122137408,389312984,-35114504,-12719726,36132812,90893552,0
-23587788,-35114504,-9694657,-12548828,24658204,8913574,0
21755726,-46488548,-26030534,-8496094,49804688,8249512,0
-79541984,7099237,-10076336,-12207031,-14892578,940917936,0
-70229008,27251908,-45038168,-12866211,26611328,8925781,0
-4274809,54198476,30534352,-12548828,21728516,8935547,0
-4114504,23816792,-473282468,-14331054,732421868,9250488,0
-229007632,-198473292,15267176,-1171875,3149414,8876953,0
-3832061,-11435115,-21145038,-13134766,234375,87475584,0
-15572519,41603056,-4961832,-12426758,20751954,8894043,0
-396946584,-26717558,-15267176,-119384768,21728516,9067383,0
45801528,-83206104,-9541985,-11694336,29785156,8935547,0
-30839694,870229,-3816794,-13623047,14892578,8876953,0
-55725192,-15648855,54885496,-13183594,11962891,9328613,0
-179389316,2053435,519084,-12158203,253906252,88916016,0
-77099232,169465652,-28549618,-12402344,24902344,8718262,0
1167939,-18091604,14198474,-11401367,2709961,91552732,0
-4351145,16717557,-114503816,-119384768,30517578,8947754,0
-45801528,-370229,-32061068,-12060547,28564454,891601536,0
10610686,-49923664,-40839696,-14208984,107421868,89038088,0
2091603,-4587786,5801527,-119628904,2709961,89086916,0
206106868,-519084,17557252,-111816408,28564454,89819336,0
-7480916,22137404,-2977099,-114990232,26855468,9003906,0
26717558,11221374,-236641232,-11743164,234375,89746092,0
-29847328,1778626,-32366412,-1418457,18798828,8696289,0
-83206104,-8244275,1519084,-11206055,3491211,8913574,0
396946584,732824436,-343511468,-1159668,36132812,8989258,0
12671756,2519084,-206106868,-114990232,37353516,851318336,0
20076336,-259542,-99236643,-11279297,2734375,900634736,0
1908397,22748092,-2206107,-1184082,24414062,8911133,0
57251908,66412216,-7633588,-114990232,28320312,8937988,0
18778626,-17633588,-86259544,-12353516,29052734,9094238,0
-343511468,13053435,-129771,-10791016,28808594,90527348,0
40458016,8396947,-10687023,-109375,22705078,90722652,0
-13740458,236641232,-2519084,-10522461,27832032,89501952,0
-10687023,2519084,15267176,-1159668,22705078,9038086,0
7633588,67175576,-129771,-10961914,2368164,8977051,0
236641232,9465649,-366412232,-12231445,26367188,8947754,0
-13740458,122137408,-22900764,-11376953,28808594,90356448,0
-16793894,9694657,0,-11230469,3540039,8979492,0
10068703,-4587786,-56488548,-122802732,3149414,8659668,0
91603052,229771,-35114504,-1171875,2709961,8955078,0
-10687023,977099264,3816794,-11401367,24414062,9091797,0
-7099237,9106871,-171755732,-95458984,36865236,8955078,0
-50610684,5816794,27633586,-13183594,-45166016,1159668,0
3816794,34580152,-610687,-10864258,30517578,8937988,0
-51603056,49923664,16183206,-1303711,30761718,9094238,0
-29007636,366412232,-67175576,-12207031,18066406,9091797,0
14122137,-1221374,-11221374,-111572264,29052734,89208984,0
-1908397,6335878,-5114504,-11010742,37353516,8942871,0
-23435114,2206107,178625952,-115722652,2709961,9187012,0
